Label,Layer #,Scaffold #,wt% PPF,Spacing (mm),Speed (mm/s),Pressure (bar),Mean fiber,Mean pore,Mean spacing,Fiber Size (x1),x2,x3,x4,x5,Pore Size (x1),x2 2,x3 2,x4 2,x5 2,Fiber spacing (x1),Spacing x2,Spacing x3,Spacing x4,Spacing x5,Std wt% PPF,Std Spacing (mm),Std Speed (mm/s),Std Pressure (bar),Std Mean fiber,Std Mean pore,Std Mean spacing,Linear pore size,Quadratic pore size,Linear fiber diameter,Quadratic fiber diameter,4th order pore,4th order fiber,"Pore (lin, step)","Fiber (lin, step)","Pore (quad, step)","Fiber (quad, step)","Sum (lin, step)","Sum (quad, step)"
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",4,4,90,1.2,5,3,0.5136,0.636,1.1496,0.636,0.576,0.444,0.444,0.468,0.708,0.36,0.672,0.696,0.744,1.344,0.936,1.116,1.14,1.212,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.3859164002,0.7987065425,1.1214848501,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",5,1,90,1.2,5,3,0.456,0.672,1.128,0.528,0.432,0.468,0.42,0.432,0.672,0.684,0.696,0.624,0.684,1.2,1.116,1.164,1.044,1.116,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.0113840024,0.9607958722,1.0132196035,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",5,2,90,1.2,5,3,0.4416,0.7104,1.152,0.468,0.42,0.42,0.456,0.444,0.696,0.684,0.756,0.708,0.708,1.164,1.104,1.176,1.164,1.152,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.0822490971,1.1336911573,1.1335143219,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",5,3,90,1.2,5,3,0.5088,0.6336,1.1424,0.624,0.48,0.564,0.432,0.444,0.576,0.612,0.624,0.672,0.684,1.2,1.092,1.188,1.104,1.128,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.3547053671,0.7879005872,1.0853964345,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",5,4,90,1.2,5,3,0.4536,0.696,1.1496,0.54,0.42,0.468,0.408,0.432,0.648,0.708,0.708,0.708,0.708,1.188,1.128,1.176,1.116,1.14,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.0042215142,1.0688554254,1.1214848501,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",6,1,90,1.2,5,3,0.408,0.7248,1.1328,0.324,0.396,0.42,0.42,0.48,0.744,0.744,0.684,0.732,0.72,1.068,1.14,1.104,1.152,1.2,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.3007263291,1.1985268891,1.0372785472,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",6,2,90,1.2,5,3,0.444,0.696,1.14,0.48,0.504,0.408,0.432,0.396,0.66,0.564,0.708,0.78,0.768,1.14,1.068,1.116,1.212,1.164,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.0666435805,1.0688554254,1.0733669627,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",6,3,90,1.2,5,3,0.4488,0.6984,1.1472,0.48,0.432,0.444,0.432,0.456,0.696,0.672,0.732,0.708,0.684,1.176,1.104,1.176,1.14,1.14,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.0354325473,1.0796613807,1.1094553782,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",6,4,90,1.2,5,3,0.5208,0.684,1.2048,0.648,0.504,0.492,0.468,0.492,0.732,0.624,0.648,0.72,0.696,1.38,1.128,1.14,1.188,1.188,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,0.4327329499,1.0148256488,1.3981627024,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
"90:10 PPF:DEF, 3bar, 5mm/s, 1.2mm",7,1,90,1.2,5,3,0.4344,0.6864,1.1208,0.42,0.504,0.396,0.432,0.42,0.636,0.708,0.696,0.708,0.684,1.056,1.212,1.092,1.14,1.104,1.3780747579,1.1746092977,-0.8062444689,0.4383630284,-0.1290656468,1.0256316041,0.977131188,0.8513682007,0.694796665,0.3347590656,0.404393446,0.6396304723,0.4904838812,0.823388683,0.3169329,0.728377342,0.404741781,1.140321583,1.133119123
